rank,year,duration,age_limit,rating,numberof_ratings,Metascore,description,name
92,2021,152,12,8.4,41.0,81.0,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?, Drishyam 2
93,2023,180,15,8.3,755.0,90.0,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb., Oppenheimer
94,1999,122,18,8.3,1.2,84.0,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend., American Beauty
95,2010,131,15,8.3,204.0,80.0,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes., Incendies
96,1997,126,15,8.3,1.1,71.0,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.", Good Will Hunting
97,2000,102,18,8.3,903.0,71.0,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.., Requiem for a Dream
98,1995,170,15,8.3,724.0,76.0,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist., Heat
99,2003,120,18,8.3,640.0,78.0,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.", Oldboy
100,2004,108,15,8.3,1.1,89.0,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.", Eternal Sunshine of the Spotless Mind
101,1983,170,18,8.3,922.0,65.0,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.", Scarface
102,1984,229,18,8.3,380.0,75.0,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.", Once Upon a Time in America
103,1995,178,15,8.3,1.1,68.0,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England., Braveheart
104,1971,136,X,8.3,885.0,77.0,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.", A Clockwork Orange
105,1968,149,U,8.3,723.0,84.0,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.", 2001: A Space Odyssey
106,1987,116,18,8.3,794.0,78.0,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue., Full Metal Jacket
107,1995,81,PG,8.3,1.1,96.0,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom., Toy Story
108,1992,99,18,8.3,1.1,81.0,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.", Reservoir Dogs
109,2012,115,15,8.3,367.0,77.0,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.", The Hunt
110,2009,96,U,8.3,1.1,88.0,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.", Up
111,2020,160,12,8.3,115.0,88.0,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.", Hamilton
112,1983,131,PG,8.3,1.1,58.0,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.", Star Wars: Episode VI - Return of the Jedi
113,2001,122,15,8.3,797.0,70.0,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.", Am̩lie
114,1997,134,PG,8.3,437.0,76.0,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.", Princess Mononoke
115,2010,103,PG,8.3,897.0,92.0,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.", Toy Story 3
116,1958,128,PG,8.3,429.0,100.0,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.", Vertigo
117,1931,117,PG,8.3,169.0,81.0,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.", M
118,1964,95,PG,8.3,520.0,97.0,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.", Dr
119,1962,218,PG,8.3,316.0,100.0,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.", Lawrence of Arabia
