rank,year,duration,age_limit,rating,numberof_ratings,Metascore,description,name
505,2004,99,15,7.9,597.0,76.0,"The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.", Shaun of the Dead
506,1980,133,AA,7.9,216.0,60.0,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.", The Blues Brothers
507,2009,112,15,7.9,719.0,81.0,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology., District 9
508,1960,197,PG,7.9,144.0,87.0,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising.", Spartacus
509,1999,92,U,7.9,623.0,88.0,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.", Toy Story 2
510,1993,144,18,7.9,233.0,66.0,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.", Carlito's Way
511,2013,109,15,7.9,173.0,94.0,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna., Before Midnight
512,2013,117,15,7.9,521.0,77.0,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.", Dallas Buyers Club
513,2009,87,PG,7.9,272.0,83.0,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation., Fantastic Mr
514,2012,127,PG,7.9,669.0,79.0,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.", Life of Pi
515,2000,120,12,7.9,282.0,94.0,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.," Crouching Tiger, Hidden Dragon"
516,1984,82,15,7.9,148.0,92.0,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.", This Is Spinal Tap
517,1944,88,PG,7.9,52.0,81.0,A police detective falls in love with the woman whose murder he is investigating., Laura
518,2019,137,15,7.9,348.0,94.0,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together., Marriage Story
519,1995,83,15,7.9,158.0,76.0,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master., Ghost in the Shell
520,1948,80,PG,7.9,155.0,73.0,Two men try to convince themselves they've committed the perfect murder by hosting a dinner party after strangling a former classmate to death., Rope
521,1964,99,15,7.9,234.0,65.0,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.", A Fistful of Dollars
522,1945,101,PG,7.9,40.0,81.0,The desperate life of a chronic alcoholic is followed through a four-day drinking bout., The Lost Weekend
523,2016,106,12A,7.9,102.0,79.0,"A young lad notices a beautiful girl who begins to occupy his thoughts. While struggling with poverty, personal relationships and life's woes, he starts a band, hoping to catch her attention.", Sing Street
524,1956,220,U,7.9,78.0,81.0,"Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery.", The Ten Commandments
525,1993,76,PG,7.9,377.0,82.0,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.", The Nightmare Before Christmas
526,1922,94,PG,7.9,106.0,81.0,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife., Nosferatu
527,2008,109,15,7.9,321.0,80.0,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.", The Wrestler
528,2011,100,PG,7.9,249.0,89.0,"When George, a silent movie superstar, meets Peppy Miller, a dancer, sparks fly between the two. However, after the introduction of talking pictures, their fortunes change, affecting their dynamic.", The Artist
529,1969,145,18,7.9,91.0,98.0,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.", The Wild Bunch
530,1967,110,A,7.9,84.0,76.0,"A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case.", In the Heat of the Night
531,1972,167,PG,7.9,99.0,93.0,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane., Solaris
532,1976,138,AA,7.9,127.0,84.0,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.", All the President's Men
533,2018,121,15,7.9,87.0,93.0,"On the margins of Tokyo, a dysfunctional band of outsiders are united by loyalty, a penchant for petty theft and playful grifting. When the young son is arrested, secrets are exposed that upend their tenuous, below-the-radar existence.", Shoplifters
534,1951,101,PG,7.9,142.0,88.0,A psychopathic man tries to forcibly persuade a tennis star to agree to his theory that two strangers can get away with murder by submitting to his plan to kill the other's most-hated person., Strangers on a Train
535,1941,100,PG,7.9,167.0,97.0,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered.", The Maltese Falcon
536,1951,122,X,7.9,115.0,97.0,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her., A Streetcar Named Desire
537,2000,140,15,7.9,117.0,63.0,An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision., Dancer in the Dark
538,1965,193,PG,7.9,82.0,69.0,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.", Doctor Zhivago
539,1970,172,PG,7.9,108.0,86.0,The World War II phase of the career of controversial American general George S. Patton., Patton
540,1962,126,12A,7.9,80.0,94.0,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy., The Manchurian Candidate
541,1933,100,PG,7.9,91.0,92.0,"A film crew goes to a tropical island for a location shoot, where they capture a colossal ape who takes a shine to their blonde starlet, and bring him back to New York City.", King Kong
542,2014,150,18,7.9,132.0,71.0,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.", The Raid 2
543,2002,120,12A,7.9,188.0,85.0,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.", Hero
544,1979,130,AA,7.9,78.0,83.0,"After the death of his employer forces him out of the only home he's ever known, a simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful tycoon and an insider in Washington politics.", Being There
545,1971,91,AA,7.9,82.0,62.0,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.", Harold and Maude
546,1983,93,PG,7.9,169.0,77.0,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift.", A Christmas Story
547,1968,134,A,7.9,34.0,81.0,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision.", The Lion in Winter
548,1963,186,PG,7.9,29.0,100.0,"The Prince of Salina, a noble aristocrat of impeccable integrity, tries to preserve his family and class amid the tumultuous social upheavals of 1860s Sicily.", The Leopard
549,2002,112,15,7.9,118.0,86.0,Two men share an odd friendship while they care for two women who are both in deep comas., Talk to Her
550,1946,102,A,7.9,108.0,100.0,The daughter of a convicted German spy is asked by American agents to gather information on a ring of German scientists in South America. How far will she have to go to ingratiate herself with them?, Notorious
551,1956,84,PG,7.9,98.0,91.0,Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery., The Killing
552,1994,102,18,7.9,37.0,77.0,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts., Once Were Warriors
553,1946,114,PG,7.9,91.0,86.0,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail and what might be love.", The Big Sleep
554,1940,112,A,7.9,74.0,96.0,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.", The Philadelphia Story
555,1950,94,PG,7.9,36.0,81.0,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.", In a Lonely Place
556,2017,137,15,7.9,32.0,69.0,"A widowed father and taxi driver who drives a German reporter from Seoul to Gwangju to cover the 1980 uprising, soon finds himself regretting his decision after being caught in the violence around him.", A Taxi Driver
557,2019,113,PG,7.9,56.0,69.0,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.", Togo
558,2015,159,15,7.9,138.0,81.0,"A child from the Mahishmati kingdom is raised by tribal people and one day learns about his royal heritage, his father's bravery in battle and a mission to overthrow the incumbent ruler.", Baahubali: The Beginning
559,1975,107,U,7.9,53.0,82.0,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.", Mirror
560,2013,96,15,7.9,92.0,82.0,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend., Short Term 12
561,1958,108,PG,7.9,54.0,84.0,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son., Cat on a Hot Tin Roof
562,1938,102,U,7.9,55.0,97.0,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement.", The Adventures of Robin Hood
563,1950,104,U,7.9,58.0,81.0,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.", Harvey
564,1970,113,X,7.9,34.0,100.0,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.", The Conformist
565,1944,118,PG,7.9,75.0,81.0,A Brooklyn writer of books on the futility of marriage risks his reputation after he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers., Arsenic and Old Lace
566,2012,127,12A,7.9,106.0,95.0,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.", Amour
567,2010,165,12A,7.9,117.0,50.0,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey., My Name Is Khan
568,2003,186,12A,7.9,76.0,54.0,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.", Kal Ho Naa Ho
569,1967,134,X,7.9,29.0,89.0,"Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers.", In Cold Blood
570,1980,180,PG,7.9,38.0,84.0,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place., Kagemusha
571,1986,149,PG,7.9,31.0,81.0,"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return.", The Sacrifice
572,1953,89,X,7.9,29.0,81.0,Tough cop Dave Bannion takes on a politically powerful crime syndicate., The Big Heat
573,1983,125,15,7.9,30.0,74.0,"A Russian poet and his interpreter travel to Italy researching the life of an 18th-century composer, and instead meet a ruminative madman who tells the poet how the world may be saved.", Nostalgia
574,1934,91,PG,7.9,33.0,86.0,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.", The Thin Man
575,1945,111,PG,7.9,29.0,88.0,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter., Mildred Pierce
576,2004,121,18,7.9,58.0,78.0,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love.", Head-On
577,1941,90,PG,7.9,29.0,81.0,Hollywood director John L. Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie., Sullivan's Travels
578,1970,140,PG,7.9,28.0,92.0,"After leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist.", The Red Circle
579,1947,96,U,7.9,55.0,88.0,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken.", Miracle on 34th Street
580,1936,94,A,7.9,27.0,82.0,A scatterbrained socialite hires a vagrant as a family butler - but there's more to Godfrey than meets the eye., My Man Godfrey
581,2014,96,12A,7.9,28.0,71.0,"Leonardo is a blind teenager searching for independence. His everyday life, the relationship with his best friend Giovana, and the way he sees the world change completely with the arrival of Gabriel.", The Way He Looks
582,1958,91,PG,7.9,29.0,94.0,"A self-assured businessman murders his employer, the husband of his mistress, which unintentionally provokes an ill-fated chain of events.", Lift to the Scaffold
583,1925,75,PG,7.9,62.0,97.0,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.", Battleship Potemkin
584,2001,98,15,7.9,49.0,84.0,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap.", No Man's Land
585,2000,114,15,7.9,57.0,80.0,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").", Nine Queens
586,2009,119,12A,7.9,57.0,87.0,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers., About Elly
587,2019,154,12A,7.9,44.0,65.0,A coming-of-age story based on the lives of street rappers in Mumbai., Gully Boy
588,2003,110,12,7.9,48.0,82.0,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.", The Return
589,2004,88,15,7.9,59.0,72.0,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days., 3-Iron
590,2007,113,15,7.9,63.0,97.0,A woman assists her friend in arranging an illegal abortion in 1980s Romania.," 4 Months, 3 Weeks and 2 Days"
591,1946,96,PG,7.9,28.0,92.0,"A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her.", La Belle et la BÃªte
592,1939,110,PG,7.9,31.0,99.0,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.", The Rules of the Game
593,2009,144,15,7.9,32.0,81.0,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?", Dev
594,1961,90,X,7.9,28.0,84.0,"Recently released from a mental hospital, Karin rejoins her emotionally disconnected family in their island home, only to slip from reality as she begins to believe she is being visited by God.", Through a Glass Darkly
595,2007,138,PG,7.9,59.0,81.0,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman., Jab We Met
596,2018,124,12A,7.9,38.0,81.0,A man is embarrassed when he finds out his mother is pregnant., Badhaai Ho
597,2016,130,12A,7.9,59.0,81.0,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.", Airlift
598,2019,154,12A,7.9,37.0,81.0,Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna., Super 30
599,2015,159,15,7.9,61.0,81.0,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.", Baby
600,2018,140,12A,7.9,29.0,81.0,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India.", Padman
601,2024,148,15,7.8,85.0,79.0,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max., Furiosa: A Mad Max Saga
602,2023,124,12A,7.8,119.0,81.0,"Post-war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.", Godzilla Minus One
603,2019,113,18,7.8,407.0,51.0,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.", The Gentlemen
604,1985,97,15,7.8,439.0,66.0,Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought., The Breakfast Club
605,2005,129,U,7.8,333.0,82.0,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?", Pride & Prejudice
606,2022,176,15,7.8,795.0,72.0,"When a sadistic serial killer begins murdering key political figures in Gotham, The Batman is forced to investigate the city's hidden corruption and question his family's involvement.", The Batman
607,1989,103,15,7.8,80.0,97.0,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.", My Left Foot
608,1979,96,AA,7.8,148.0,83.0,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress., Manhattan
609,1986,103,15,7.8,389.0,61.0,"A popular high school student, admired by his peers, decides to take a day off from school and goes to extreme lengths to pull it off, to the chagrin of his Dean, who'll do anything to stop him.", Ferris Bueller's Day Off
610,1984,105,PG,7.8,453.0,71.0,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.", Ghostbusters
611,2017,104,15,7.8,705.0,85.0,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.", Get Out
612,2004,123,12A,7.8,625.0,53.0,An elderly man reads to a woman with dementia the story of two young lovers whose romance is threatened by the difference in their respective social classes., The Notebook
613,2013,123,12A,7.8,390.0,55.0,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.", About Time
614,2012,143,12A,7.8,734.0,81.0,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.", Skyfall
615,2022,139,15,7.8,539.0,81.0,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led., Everything Everywhere All at Once
616,2015,130,15,7.8,489.0,81.0,"In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is.", The Big Short
617,1993,130,15,7.8,168.0,50.0,"A successful lawman's plans to retire anonymously in Tombstone, Arizona, are disrupted by the kind of outlaws he was famous for eliminating.", Tombstone
618,2023,105,12A,7.8,121.0,94.0,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.", Past Lives
619,1987,107,18,7.8,458.0,47.0,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior., Predator
620,2017,106,12A,7.8,745.0,94.0,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.", Dunkirk
621,2019,135,PG,7.8,249.0,91.0,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.", Little Women
622,2011,100,18,7.8,709.0,79.0,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver., Drive
623,2016,127,PG,7.8,257.0,74.0,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program., Hidden Figures
624,2016,133,PG-13,7.8,691.0,65.0,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.", Rogue One
625,1993,101,PG,7.8,103.0,55.0,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.", The Sandlot Kids
626,2006,139,18,7.8,333.0,68.0,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.", Apocalypto
627,2017,132,15,7.8,319.0,94.0,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.", Call Me by Your Name
628,1993,121,18,7.8,163.0,80.0,"An intense drama about a boy torn between his tough, hard-working father and a violent yet charismatic crime boss.", A Bronx Tale
629,2012,169,12A,7.8,877.0,58.0,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home and the gold within it from the dragon Smaug.", The Hobbit: An Unexpected Journey
630,2017,103,PG,7.8,95.0,88.0,"Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen.", Paddington 2
631,2015,168,18,7.8,664.0,68.0,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.", The Hateful Eight
632,2023,144,15,7.8,138.0,72.0,The flight of a rugby team crashes on a glacier in the Andes. The few passengers who survive the crash find themselves in one of the world's toughest environments to survive., Society of the Snow
633,2007,121,15,7.8,537.0,81.0,"An overachieving London police sergeant is transferred to a village where the easygoing officers object to his fervor for regulations, all while a string of grisly murders strikes the town.", Hot Fuzz
634,2014,117,15,7.8,608.0,76.0,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.", Nightcrawler
635,2007,123,15,7.8,301.0,85.0,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit., Atonement
636,2015,138,12A,7.8,978.0,80.0,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.", Star Wars: Episode VII - The Force Awakens
637,2002,119,12A,7.8,579.0,68.0,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.", The Bourne Identity
638,2010,120,12A,7.8,763.0,95.0,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.", The Social Network
639,1971,100,U,7.8,229.0,67.0,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory., Willy Wonka & the Chocolate Factory
640,2019,209,15,7.8,434.0,94.0,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa.", The Irishman
641,2022,102,PG,7.8,179.0,73.0,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.", Puss in Boots: The Last Wish
642,1993,130,12,7.8,321.0,87.0,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.", The Fugitive
643,2022,148,15,7.8,249.0,76.0,A young German soldier's terrifying experiences and distress on the western front during World War I., All Quiet on the Western Front
644,1964,139,PG,7.8,187.0,88.0,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.", Mary Poppins
645,1989,108,PG,7.8,576.0,57.0,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.", Back to the Future Part II
646,1991,112,15,7.8,156.0,76.0,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.", Boyz n the Hood
647,2016,147,12A,7.8,855.0,75.0,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man., Captain America: Civil War
648,2000,143,12,7.8,642.0,74.0,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island., Cast Away
649,2016,137,15,7.8,316.0,96.0,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies., Manchester by the Sea
650,2000,113,PG,7.8,233.0,48.0,"In 1971 Virginia high school football was everything to the people of Alexandria. But when the school board was forced to integrate an all-black school with an all-white one, the very foundation of football's tradition was put to the test.", Remember the Titans
651,2006,101,15,7.8,521.0,80.0,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus., Little Miss Sunshine
652,2011,158,18,7.8,497.0,71.0,Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by young computer hacker Lisbeth Salander., The Girl with the Dragon Tattoo
653,2008,166,12A,7.8,699.0,70.0,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.", The Curious Case of Benjamin Button
654,1987,119,15,7.8,332.0,79.0,"During Prohibition, Treasury agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone, and assembles a small, incorruptible team to help him.", The Untouchables
655,2022,187,15,7.8,168.0,83.0,A fearless warrior on a perilous mission comes face to face with a steely cop serving British forces in this epic saga set in pre-independent India., RRR
656,2013,161,12A,7.8,709.0,66.0,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim the Lonely Mountain, their homeland, from the dragon Smaug.", The Hobbit: The Desolation of Smaug
657,2007,157,18,7.8,455.0,76.0,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.", American Gangster
658,2016,118,15,7.8,236.0,72.0,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.", Captain Fantastic
659,2014,102,PG,7.8,505.0,74.0,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.", Big Hero 6
660,2022,104,12A,7.8,37.0,81.0,"The intense friendship between two thirteen-year old boys Leo and Remi suddenly gets disrupted. Struggling to understand what has happened, Léo approaches Sophie, Rémi's mother. ""Close"" is a film about friendship and responsibility.", Close
661,2003,154,15,7.8,474.0,55.0,"In 19th century Japan, Nathan Algren, a US army captain, is hired by the Japanese emperor to train his army in the modern warfare techniques. Captain Algren finds himself trapped in a struggle between two eras and two worlds.", The Last Samurai
662,2005,119,15,7.8,306.0,74.0,The crew of the ship Serenity try to evade an assassin sent to recapture telepath River., Serenity
663,2016,101,12A,7.8,143.0,81.0,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush., Hunt for the Wilderpeople
664,1990,107,18,7.8,237.0,75.0,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.", Misery
665,2010,144,18,7.8,147.0,67.0,A secret agent exacts revenge on a serial killer through a series of captures and releases., I Saw the Devil
666,2009,97,15,7.8,378.0,67.0,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.", Moon
667,2007,87,PG,7.8,201.0,81.0,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine., The Man from Earth
668,1973,114,R,7.8,48.0,76.0,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.", The Holy Mountain
669,1989,122,15,7.8,145.0,78.0,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.", Glory
670,2015,147,15,7.8,220.0,72.0,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.", Straight Outta Compton
671,1969,113,X,7.8,122.0,79.0,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.", Midnight Cowboy
672,1985,132,15,7.8,212.0,84.0,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams., Brazil
